Last Update,Bitcoin Value,Bitcoin Volatility 5:1,Bitcoin Volatility 5:1 mean,Bitcoin Volatility 5:1 std,Bitcoin Volatility 5:8,Bitcoin Volatility 5:8 mean,Bitcoin Volatility 5:8 std,Bitcoin Volatility 5:24,Bitcoin Volatility 5:24 mean,Bitcoin Volatility 5:24 std,Bitcoin Volatility 30:8,Bitcoin Volatility 30:8 mean,Bitcoin Volatility 30:8 std,Bitcoin Volatility 30:24,Bitcoin Volatility 30:24 mean,Bitcoin Volatility 30:24 std,Bitcoin Volatility 30:168,Bitcoin Volatility 30:168 mean,Bitcoin Volatility 30:168 std,Doge Value,Doge Volatility 5:1,Doge Volatility 5:1 mean,Doge Volatility 5:1 std,Doge Volatility 5:8,Doge Volatility 5:8 mean,Doge Volatility 5:8 std,Doge Volatility 5:24,Doge Volatility 5:24 mean,Doge Volatility 5:24 std,Doge Volatility 30:8,Doge Volatility 30:8 mean,Doge Volatility 30:8 std,Doge Volatility 30:24,Doge Volatility 30:24 mean,Doge Volatility 30:24 std,Doge Volatility 30:168,Doge Volatility 30:168 mean,Doge Volatility 30:168 std
2024-12-23 19:05:02,94450.0,33.0,89.15384615384616,115.00785926321598,33.0,110.36666666666666,156.23588115985953,33.0,110.36666666666666,156.23588115985953,340.0,527.4470588235295,232.5249349599979,340.0,527.4470588235295,232.5249349599979,340.0,527.4470588235295,232.5249349599979,0.323495,3.899999999995574e-05,0.00040907692307692227,0.0005893748752616954,3.899999999995574e-05,0.0005744666666666688,0.0008953204711539984,3.899999999995574e-05,0.0005744666666666688,0.0008953204711539984,0.0024969999999999715,0.0028755647058823597,0.0017638631334379107,0.0024969999999999715,0.0028755647058823597,0.0017638631334379107,0.0024969999999999715,0.0028755647058823597,0.0017638631334379107
2024-12-23 19:10:02,94450.0,0.0,89.15384615384616,115.00785926321598,0.0,109.15384615384616,155.79565841026243,0.0,109.15384615384616,155.79565841026243,272.0,524.4767441860465,232.78855473908135,272.0,524.4767441860465,232.78855473908135,272.0,524.4767441860465,232.78855473908135,0.323495,0.0,0.00040907692307692227,0.0005893748752616954,0.0,0.0005681538461538482,0.0008923668518555585,0.0,0.0005681538461538482,0.0008923668518555585,0.0016120000000000023,0.0028608720930232623,0.001758742651117298,0.0016120000000000023,0.0028608720930232623,0.001758742651117298,0.0016120000000000023,0.0028608720930232623,0.001758742651117298
2024-12-23 19:15:02,94293.0,157.0,85.46153846153847,111.70169752859279,157.0,109.67391304347827,155.01755368136534,157.0,109.67391304347827,155.01755368136534,272.0,521.5747126436781,233.0087647909263,272.0,521.5747126436781,233.0087647909263,272.0,521.5747126436781,233.0087647909263,0.322713,0.0007819999999999494,0.00043261538461537743,0.0005983131201499612,0.0007819999999999494,0.0005704782608695667,0.0008877302020378325,0.0007819999999999494,0.0005704782608695667,0.0008877302020378325,0.0016120000000000023,0.002846517241379317,0.0017536065485236033,0.0016120000000000023,0.002846517241379317,0.0017536065485236033,0.0016120000000000023,0.002846517241379317,0.0017536065485236033
2024-12-23 19:20:02,94293.0,0.0,85.46153846153847,111.70169752859277,0.0,108.49462365591398,154.59165169933522,0.0,108.49462365591398,154.59165169933522,272.0,518.7386363636364,233.18841941623788,272.0,518.7386363636364,233.18841941623788,272.0,518.7386363636364,233.18841941623788,0.322713,0.0,0.00043261538461537743,0.0005983131201499612,0.0,0.0005643440860215069,0.0008848719693023607,0.0,0.0005643440860215069,0.0008848719693023607,0.0013979999999999548,0.002830056818181824,0.001750323611181952,0.0013979999999999548,0.002830056818181824,0.001750323611181952,0.0013979999999999548,0.002830056818181824,0.001750323611181952
2024-12-23 19:25:02,94280.0,13.0,82.07692307692308,113.29126293059964,13.0,107.47872340425532,154.073416986866,13.0,107.47872340425532,154.073416986866,272.0,515.9662921348314,233.33016255932094,272.0,515.9662921348314,233.33016255932094,272.0,515.9662921348314,233.33016255932094,0.322384,0.0003290000000000237,0.0004129230769230714,0.000597091347218387,0.0003290000000000237,0.0005618404255319166,0.0008804364179713042,0.0003290000000000237,0.0005618404255319166,0.0008804364179713042,0.0013979999999999548,0.002813966292134837,0.0017469577221392008,0.0013979999999999548,0.002813966292134837,0.0017469577221392008,0.0013979999999999548,0.002813966292134837,0.0017469577221392008
2024-12-23 19:30:02,94280.0,0.0,82.07692307692308,113.29126293059963,0.0,106.34736842105264,153.64789593044281,0.0,106.34736842105264,153.64789593044281,203.0,512.4888888888889,234.34921816582053,203.0,512.4888888888889,234.34921816582053,203.0,512.4888888888889,234.34921816582053,0.322384,0.0,0.0004129230769230714,0.0005970913472183871,0.0,0.0005559263157894754,0.0008776358019679109,0.0,0.0005559263157894754,0.0008776358019679109,0.0011109999999999731,0.0027950444444444496,0.0017463659340271717,0.0011109999999999731,0.0027950444444444496,0.0017463659340271717,0.0011109999999999731,0.0027950444444444496,0.0017463659340271717
2024-12-23 19:35:02,94189.0,91.0,64.46153846153847,88.25022699179058,91.0,106.1875,152.84510993675573,91.0,106.1875,152.84510993675573,261.0,509.72527472527474,234.53007700667524,261.0,509.72527472527474,234.53007700667524,261.0,509.72527472527474,234.53007700667524,0.321309,0.0010749999999999926,0.0003602307692307644,0.0004886931814963449,0.0010749999999999926,0.000561333333333335,0.0008746104295678011,0.0010749999999999926,0.000561333333333335,0.0008746104295678011,0.0021859999999999657,0.002788351648351653,0.0017378099971172324,0.0021859999999999657,0.002788351648351653,0.0017378099971172324,0.0021859999999999657,0.002788351648351653,0.0017378099971172324
2024-12-23 19:40:02,94189.0,0.0,64.46153846153847,88.25022699179058,0.0,105.09278350515464,152.42874581766523,0.0,105.09278350515464,152.42874581766523,261.0,507.0217391304348,234.67499050936075,261.0,507.0217391304348,234.67499050936078,261.0,507.0217391304348,234.67499050936078,0.321309,0.0,0.0003602307692307644,0.0004886931814963449,0.0,0.0005555463917525789,0.0008719080492017998,0.0,0.0005555463917525789,0.0008719080492017998,0.0021859999999999657,0.002781804347826091,0.0017293758210783301,0.0021859999999999657,0.002781804347826091,0.0017293758210783301,0.0021859999999999657,0.002781804347826091,0.0017293758210783301
2024-12-23 19:45:02,94026.0,163.0,63.92307692307692,87.5713628405062,163.0,104.19587628865979,151.82196530635656,163.0,105.68367346938776,151.75377486014852,267.0,504.44086021505376,234.7194191020415,267.0,504.44086021505376,234.71941910204154,267.0,504.44086021505376,234.71941910204154,0.319928,0.001381000000000021,0.0003983846153846146,0.0005487497211026685,0.001381000000000021,0.0005556701030927853,0.0008720255123567386,0.001381000000000021,0.0005639693877551038,0.0008714006435202227,0.0027850000000000374,0.0027818387096774236,0.001719951391441068,0.0027850000000000374,0.0027818387096774236,0.0017199513914410683,0.0027850000000000374,0.0027818387096774236,0.0017199513914410683
2024-12-23 19:50:01,94026.0,0.0,63.92307692307692,87.5713628405062,0.0,104.19587628865979,151.82196530635656,0.0,104.61616161616162,151.35070147897463,267.0,501.9148936170213,234.73511310449936,267.0,501.9148936170213,234.7351131044994,267.0,501.9148936170213,234.7351131044994,0.319928,0.0,0.0003983846153846146,0.0005487497211026686,0.0,0.0005556701030927853,0.0008720255123567386,0.0,0.0005582727272727291,0.0008687942596939634,0.0027850000000000374,0.0027818723404255366,0.0017106793798129017,0.0027850000000000374,0.0027818723404255366,0.001710679379812902,0.0027850000000000374,0.0027818723404255366,0.001710679379812902
